Topic,Category,Department,question,answer
Building Permits,"Building Permits and Inspections, Planning and Zoning",Public Works ,What is an easement and do I need a permit?,"Easements are areas of land under private ownership, which other parties have a legal right to use for specific purposes. Easements frequently exist where public improvements such as utilities, drainage ways, emergency accesses, sidewalks and bike paths cross private property. In order to preserve their intended uses and to protect the improvements they contain, the city regulates construction in easements through contractor licensing and revocable permitting. Property owners are prohibited from locating structures in public easements and from otherwise obstructing access to or use of the easement. In special cases, a revocable permit can be approved to allow construction of a fence across an easement. Contractors installing utilities or other public infrastructure within an easement are subject to the same licensing and permitting requirements as would be applicable for work within a public right-of-way."
Building Safety Code Violations,Code Enforcement,Public Works ,Building Safety Code Violations,"Planning and Development Services (P&DS) investigates code violations and concerns related to building safety, such as interior and exterior structural integrity; handrails and guardrails; doors and windows; interior sanitation (accumulation of rubbish and garbage); plumbing systems and hot water requirements; heating requirements; and outlet and lighting requirements. To report a building safety code violation, make a service request below or call 303-441-1880. P&DS also investigates code violations and concerns related to right of ways, rental housing licensing, and zoning.   The Code Enforcement Unit, part of the Boulder Police Department, responds to all other property maintenance and nuisance code violations that affect public safety and quality of life in the City of Boulder. Please call Code Enforcement at 303-441-3333 to ask questions or report a code violation to dispatch."
Bulk Water Sales,Water and Sewer,Public Works ,Bulk Water Sales,"The City of Boulder sells potable water in bulk at the Municipal Service Center located at 5050 Pearl St. The bulk water station is available from 7 a.m. to 3 p.m., Monday-Friday. Bulk water will be turned off during the weekends and holidays. Prior to purchasing bulk water for the first time, customers must come to 5050 Pearl Street and complete a one-page user permit form and obtain a key required to dispense the bulk water. Upon completing the permit form and receipt of the key, customers can start buying water immediately. The initial water key will be free, a replacement key costs $40. Bulk water costs $8 per 1,000 gallons and customers will receive a water bill in the mail from the city's Utility Billing office. Please note that use of bulk water for fracking purposes is a violation of account terms and will result in the termination of bulk water privileges and possibly prosecution. If a customer has problems dispensing bulk water, come to 5050 Pearl Street and ask for help. To cancel a bulk water account, customers must come to 5050 Pearl Street and drop off the water key."
Business Licensing Questions,"Licensing, Permits and Fees/Taxes",Finance ,Business Licensing Questions,"Each business entity, organization or person that is engaged in business within the Boulder City Limits must have a business license and may also need an additional regulatory license to legally conduct business in the City of Boulder. Sales and use tax licensing and business licensing The Tax and License Division manages business licensing, sales tax, use and other tax filings, construction use tax reconciliation returns, and various tax auditing functions. Visit the Tax and License Division website for application forms and information, or make a service request below."
Business Services,Business Services,Community Vitality ,I want to start a business in Boulder. How do I get started?,"Here are some of the first steps to add to your ""to-do list"": Find a location and make sure the zoning for that location allows your type of business. Apply for a business license / sales tax license. If you will be selling alcohol, you will need a liquor license. Apply for building permit and/or a sign permit if needed to remodel your location. If you are starting a small business and need assistance with writing a business plan, setting up your business entity, legal questions, and financing, contact the Boulder Small Business Development Center. For small businesses, the Boulder Small Business Development Center has years of experience helping small businesses succeed. The Boulder SBDC provides counseling from over 40 experts and business counseling services are always provided free of charge to businesses and entrepreneurs. SBDC Workshops include ""Start-up Essentials."""
Business Services,Business Services,Community Vitality ,Do I need a business license or other special license?,"You will need a business/sales tax license: if your business is located in the City of Boulder if you are a business delivering goods and services into the City of Boulder. There are also several types of miscellaneous business licenses needed for businesses such as ""door to door sales,"" pawnbrokers and secondhand dealers. For more information, view the Business Licensing Questions."
Business Services,Business Services,Community Vitality ,Where can I locate my business?,"Boulder's zoning laws specify types of business uses allowed at specific locations. Each property is in a designated zoning district and each zoning district lists the allowed uses for that district. Some types of business uses or those with certain operating characteristics are only allowed with a public review process such as ""use review."" Email a Project Specialist in the Planning & Development Services Center or call 303-441-1880 to learn more about zoning districts and to confirm that your proposed business use is allowed before signing a lease or purchasing a property. You can also visit the Services Center at 1739 Broadway on the third floor."
Business Services,Business Services,Community Vitality ,Can I run my business out of my home?,"Home occupations are allowed in Boulder as long the business meets certain standards. The main requirements are that no employees may work for the business except for those who live in the home, traffic may not exceed the level expected for a residence, and no business signs may be displayed. Please submit a completed home occupation form with your business license application."
Business Services,Business Services,Community Vitality ,How do I know what taxes my business must pay?,"If your business is located in the City of Boulder, you need to collect and remit sales tax and use tax. If you are an outside business and created ""nexus,"" you need to license and collect and remit sales tax. If you deliver goods to another city, please check with that city for licensing requirements. Your business may be subject to other taxes such as food service, accommodations or admissions tax depending on your business type."
Business Services,Business Services,Community Vitality ,How do I get a liquor license?,Visit the Liquor License page for details.
Business Services,Business Services,Community Vitality ,Do I need a building permit?,Visit the Building Permits page for details.
Business Services,Business Services,Community Vitality ,Can I sell my product from a cart or vehicle?,Visit the Mobile Food Vehicles page for details.
Business Services,Business Services,Community Vitality ,Can I sell my product on the Pearl Street Mall?,Visit the Pearl Street/University Hill Vending Cart Information page for details.
Business Services,Business Services,Community Vitality ,"Where can I get information on how to ""green"" my business?","There are a variety of programs and resources that are available for energy efficiency, renewable energy, composting and recycling with Local Environmental Action Division (LEAD). City staff in LEAD are available to help you find the right options for your business, from solar rebates to energy assessments."
Canyon Gallery and Art Exhibit Space,Space Reservations and Rentals,Library ,Canyon Gallery and Art Exhibit Space,"Located in the Main Library near Boulder Creek, the Canyon Gallery is an airy public gallery that showcases the work of Boulder and regional artists, as well as national and international exhibits. All exhibitions are free and open to the public during regular library hours. For more information, call 303-441-3100.    Exhibit information and proposal information on the library's website."
Canyon Theater and Canyon Gallery Space Rentals,Space Reservations and Rentals,Library ,Canyon Theater and Canyon Gallery Space Rentals,"The Canyon Theater and Canyon Gallery at the Main Boulder Public Library, 1001 Arapahoe Ave., are available for rent for an event. Visit the library website for more information about theater and gallery rentals."
Cats in Boulder,Animals,Police ,Cats in Boulder,"Please contact Animal Protection at 303-441-3333 to report a problem or file a complaint. In the City of Boulder, cats are considered free-roaming animals and leash and licensing laws do not apply to them. Cats are subject to vaccination, nuisance and aggressive animal laws. Animal Protection cannot pick up stray cats unless they are sick, injured, have attacked a domestic animal, or have bitten or attacked a person. To view a complete list of all City of Boulder animal laws, review Chapter 6-1: Animals from the Boulder Revised Code. Vaccinate All cats must be vaccinated against rabies, beginning at four months of age. After the initial vaccination, animals must be kept current on rabies vaccinations using either a one-year or three-year vaccination. Properly vaccinating your animal helps protect them and your family from disease. Nuisance cats Don't allow your cat to create a nuisance or damage private property. Cats may dig up flower beds, leave feces in unwanted areas, or even kill wildlife. If a cat is causing a nuisance by defecating or destroying property, a property owner has the legal right to remove the cat from their property and bring it to a local animal shelter. Aggressive behavior Cats are not permitted to behave in an aggressive manner, which includes biting, scratching, attacking, or otherwise intimidating another. If your cat is displaying these behaviors, they may be subject to impoundment and you may be charged with harboring an aggressive animal. If your cat is impounded due to the above infractions, impound and board fees may apply. The cat's guardian may also be charged with a violation of owning a nuisance cat or aggressive animal, which would result in a court summons. Penalties can result in monetary fines and other restrictions. Keep your cat healthy and safe Protect your cats from the potential threats and diseases of the outdoors by keeping them inside. Chemical hazards Cats can come into contact with many different poisons while roaming outdoors. Lawn fertilizers, pesticides and rat poisons are just a few hazards. Predators Outdoor cats can be killed or seriously injured by dogs, other stray cats, or wildlife. Traffic hazards Every year, Boulder Animal Protection picks up cats that have been struck and killed by vehicles. Always spay and neuter Spay and neuter your cats to prevent house spraying, female heat cycles and overpopulation. Spaying and neutering also helps curb the cats' need to roam and makes them more enjoyable housemates. Helpful tips Many people think that cats need to be let outdoors in order to be happy. Cats live longer, healthier, happier lives when kept indoors. The average lifespan for outdoor cats is three to five years, whereas the average lifespan for indoor cats is 15 to 20 years. Outdoor cats often get into fights with other cats, leading to wounds and abscesses that are painful and costly to treat. Eliminate boredom and encourage exercise by providing cat scratch posts, catnip toys, laser pointers, anything that catches your cats' attention and encourages the ""hunting"" instinct. Window perches are also a great way to give your cat a view of the outside world without actually going outside. Outdoor cats are exposed to various diseases by various animals such as raccoons, skunks, and other unvaccinated cats. Make sure your cat is vaccinated against rabies, feline panleukopenia (feline distemper), and feline leukemia.   Feral cats A feral cat is a descendant of a domesticated cat that has returned to the wild. Feral cats can live any place where there is food and shelter available. Make sure you don't leave food accessible for feral cats to eat. Repair any holes in house skirting and make sure there is no access under porches or the house foundation. If you are experiencing feral cat problems in your neighborhood, there are several options to help resolve the issue. Option 1 - Trap and transport the cat to the Humane Society of Boulder Valley. This method is often not effective. Removing one or multiple cats without removing the food sources and shelter will only make room for more feral cats to move in. Option 2 -Trap, neuter and release. This consists of trapping feral cats and having them altered, vaccinated, and returned to the location they came from. Neutering and spaying the cats stops repopulation, territorial marking, yowling and fighting. With established cats in the area, no new cats will move in. Here are a few Colorado organizations that assist communities with trap, neuter and release programs. Humane Society of Boulder Valley 303-442-4030 Rocky Mountain Alley Cat Alliance/Devine Feline 303-202-3516"
Child Care Provider Training,Family Services,Human Services ,Child Care Provider Training,"The Child Care Recruitment and Training Program helps interested individuals become family child care (FCC) providers by offering affordable, high-quality training that meets state licensing requirements. The program offers the following services: potential provider recruitment and education; state-approved training for new FCC providers; links to organizations providing related training (health, safety, etc.); Spanish language child care provider development; technical assistance and support to licensed child care programs, preschools, community groups and service agencies; and most recent child care cost survey results for Boulder County FCC homes and centers. Learn more about Child Care Recruitment and Training."
Child Care Referrals and Subsidies,Family Services,Human Services ,Child Care Referrals and Subsidies,"The Child Care Subsidy and Referrals (CCSR) Program provides information and referrals to licensed (homes and centers) child care, preschools, and other services for children and families. With funding from the City of Boulder and City of Longmont, the Child Care Subsidies and Referrals Program, in partnership with the Colorado Child Care Assistance Program, provides low-income families with assistance for child care payments. Learn more about Child Care Subsidies."
"Circus, Carnival or Menagerie License Instructions","Licensing, Permits and Fees/Taxes",Finance ,"Circus, Carnival or Menagerie License Instructions","Any circus, carnival or menagerie requires a special regulatory license. Regulatory licenses are managed by the Tax & License Division of the Finance Department."
City of Boulder Parking Map,Parking Services,Community Vitality ,City of Boulder Parking Map,To view all public parking areas in the City of Boulder: Boulder Parking Map.
Civic Area Parking Plan,Parking Services,Communication ,Civic Area Parking Plan,"Submit your questions about the new Civic Area Parking Plan and the transition to shared metered parking, which goes into effect for city employees on Jan. 1, 2016, and the public Jan. 15, 2016."
Claims,Legal,City Attorney ,Claims,"I have been injured, or my property has been damaged, by a City of Boulder employee or by city-owned property."
Claims,Legal,City Attorney ,What do I do now?,Learn about filing Claims Against the City. Colorado law requires you to file a written notice of claim with the Boulder City Attorney's Office before you can file a lawsuit against the City of Boulder.
Claims,Legal,City Attorney ,I have a question about a claim I have already filed against the city. Who do I contact?,"Cannon Cochran Management Services (CCMSI) for City of Boulder Phone: (303) 804-2018  Fax: (970)484-1613  cityofboulder@ccmsi.com P.O. Box 4998 Greenwood Village, CO 80155"
Claims,Legal,City Attorney ,How long do I have to file a claim against the city?,Colorado state statute allows 180 days from the date of loss.
Claims,Legal,City Attorney ,Do I need to hire an attorney to file a claim against the city?,"While you are welcome to hire a private attorney and the city will be glad to work with your representative, a private attorney is not necessary to file a claim."
Claims,Legal,City Attorney ,What about my insurance company? How do they fit in with this claims process?,"If you have made a claim with your insurance company for repair of damaged property, your insurance company will evaluate the possibility of reimbursement from the city. If the insurance company is successful, they may either refund your deductible directly to you or the city may send you the refund."
Close Call Form,Transportation,Public Works ,"Have you had a close call with a bicycle, pedestrian or motorist? For example: Were you in a crosswalk (on foot, bike, skateboard) and a car almost hit you? Were you riding your bike on the right side of the road and a car almost hit you? Did you bike through a red light and a car almost hit you? Were you walking on the sidewalk and a bike almost hit you?","If you actually had an accident where physical contact was made in one form or another, please report that to the Police Department, it's the law to report all transportation accidents and also helps the City identify countermeasures to reduce future collisions and improve transportation safety. For emergencies, Dial 911. For non-emergencies, call 303-441-3333. Please complete the form below and provide your contact information. The city's bicycle and pedestrian coordinator may contact you for more information."
Community Development Block Grant,"Grants, Rebates and Funding Opportunities",Housing ,Community Development Block Grant,"The Community Development Block Grant (CDBG) program distributes annual funding to Boulder nonprofit organizations for capital improvements through an annual request for proposals (RFP) process. For more information about the grant, see the Division of Housing Funding page."
Community Event and Impact Funds,"Grants, Rebates and Funding Opportunities",Human Services ,Community Event and Impact Funds,"Community Event FundThe Community Event Fund is a source of financial support for community-based events. Funding is limited specifically to public events that encourage education, youth involvement, and respect and appreciation for all communities in Boulder. The objectives of the fund are to enable members of Boulder's diverse communities to celebrate events significant to them and to provide the general population with opportunities to participate in events organized by members of Boulder's diverse range of cultures. All events supported by the Community Event Fund must be free admission and open to the public. Community ImpactFund Through the Community Impact Fund, the Human Relations Commission (HRC) supports community-initiated activities that: raise awareness about emerging civil rights issues and problems in Boulder, facilitate interaction and understanding between communities, encourage collaboration among diverse communities, strengthen civic participation among Boulder's diverse communities; and promote an inclusive and just society. The HRC encourages funding requests that address or provide leadership development, youth involvement, and collaborations with other groups to promote inclusiveness and respect for diversity. Small Community Impact Fund grants are made throughout the year. To learn more about the Community Event Funding Programs, call 303-441-3141."
Community Mediation Service,Legal,Human Services ,Community Mediation Service,"The City of Boulder Community Mediation Service assists in resolving disputes for City of Boulder residents in the areas of landlord/tenant, roommates, neighbors, seniors, parent/teen, teen/teen, victim/offender, community groups, schools, inter-employee for nonprofit agencies, race and cross-cultural relations, and human rights. Mediation is based on open communication and a sincere desire to resolve the dispute and participation is voluntary. A large percentage of the work done by the Community Mediation Service involves landlord and tenant issues. The Community Mediation Service also works with restorative justice, in which the crime is viewed as a violation of people, interpersonal relationships and the community, rather than simply a violation of the law. It involves going into mediation with the victims of the crime and/or those with whom the crime was committed. For more information about Community Mediation Service, call 303-441-4364."
Community Service Form,Municipal Court/Traffic Violations,Municipal Court ,Community Service Form,"If you are NOT a CU Student, please fill out the Community Service Completion Form and submit your hours to the court. If you ARE a University of Colorado at Boulder student, please fill out the VRC Community Service Form.   For questions, Contact the Boulder Municipal Court."
Composting and Recycling,"Composting, Recycling and Waste",Planning Housing and Sustainability ,Composting and Recycling,"The Universal Zero Waste Ordinance (UZWO) requires property owners provide adequate composting, recycling and trash service to their tenants and occupants (BRC 1981 6-3-13). In addition, businesses must separate recyclables and compostables from the trash; provide properly placed containers and signs to facilitate the collection of recyclables and compostables (BRC 1981 6-3-14). Contact the City of Boulder at ZeroWaste@bouldercolorado.gov or 303-441-1931 with questions. Also visit www.ZeroWasteBoulder.com for more information. Exemptions are potentially available. See the Resources page for details.   Visit these pages for: General Trash Concerns  Setting Up Compost, Recyling & Trash Services Illegal Use of Dumpsters  Bear-Resistant Containers To add or adjust compost, recycling and/or trash services, contact a hauler. The city does not determine or control rates, nor does the city dictate appropriate levels of service for customers."
Cone Zones,Transportation,Public Works ,Cone Zones,"For the latest construction traffic information, visit the interactive Cone Zones map at www.boulderconezones.net. You can also view an ADA-accessible list of Cone Zones projects."
Connect Boulder Wi-Fi,City Technology,Innovation and Technology ,Connect Boulder Wi-Fi,"In November 2014, Boulder voters approved a ballot measure that exempts Boulder from state limitations on broadband services. Now the city is exploring opportunities to offer enhanced access to the Internet to residents, businesses and visitors. Learn more about Connect Boulder."
Connect Boulder Wi-Fi,City Technology,Innovation and Technology ,Is the City of Boulder planning to create a public broadband utility?,"Not at this time. Voters' passage of the ballot measure allows the city to begin exploring options to make its assets available to serve the broadband needs of Boulder residents, students and businesses, most likely through a public-private partnership, but conceivably through providing direct services. Even if the city eventually made plans to create a broadband utility, it would not prevent existing companies from continuing to provide broadband services."
Connect Boulder Wi-Fi,City Technology,Innovation and Technology ,So what is the city doing?,"As Boulder explores its options, the city is moving forward with some of the less complicated enhancements, such as providing free, public Wi-Fi access in outdoor public spaces. The first such initiative will be in the Civic Area park. The go-live date for this is Tuesday, April 7, 2015. This service will allow anyone with a smartphone, Wi-Fi enabled computer or tablet to access the Internet without incurring data usage charges."
Connect Boulder Wi-Fi,City Technology,Innovation and Technology ,How can I access this network?,"Once the network is live, accessing it should be easy. Go to your device's wireless configuration settings. Select the wireless network named ""ConnectBoulder."" Review the user agreement and click ""Accept."" Browse to your heart's content."
Connect Boulder Wi-Fi,City Technology,Innovation and Technology ,Where can I see a map of the coverage area?,A map is available at Connect Boulder.
Connect Boulder Wi-Fi,City Technology,Innovation and Technology ,Are there filters on the city's Wi-Fi network?,"No. The city believes in the value of a free and open exchange of ideas, information and perspectives. You will, however, encounter a ""splash screen"" that includes information about responsible use, including a prohibition against accessing the network to conduct criminal activity."
Connect Boulder Wi-Fi,City Technology,Innovation and Technology ,Has the city consider possible health risks associated with Wi-Fi and associated transmitters?,"The City of Boulder takes public health very seriously. Based on federal guidelines, however, we are confident that our efforts to increase the community's access to the Internet do not pose a substantial risk. The FCC has a certification process that ensures that devices like those used in this project do not exceed guidelines for human exposure to radiofrequency electromagnetic fields.   The access points that are being deployed in the Civic Area, a location that already has WiFi access inside most buildings, have a power output of close to 1 watt.   This is far less power than what you might find at a typical radio broadcast site and is well within the acceptable range."
Connect Boulder Wi-Fi,City Technology,Innovation and Technology ,How will other possibilities be evaluated?,"The city will be working with consultants and IT professionals to evaluate options that could benefit our community. In addition, Boulder has created a working group of advisors who represent a variety of stakeholders to help vet ideas and understand challenges. More information about this group, including a list of members, agendas and meeting materials, is available at Connect Boulder. Large-scale projects may require the approval of City Council."
Connect Boulder Wi-Fi,City Technology,Innovation and Technology ,What is Colorado Senate Bill 152?,"Colorado Senate Bill 152 (SB-152) is a measure passed by the Colorado Legislature in 2005. Among other requirements, it requires local governments to secure voter approval before entering into the broadband business. The current law limits the ability of Colorado cities to provide a broad spectrum of services, including: free Internet service in city libraries, parks and community centers; partnering with private businesses and leveraging government infrastructure to provide affordable and high-speed Internet service throughout the entire community; and direct provision of broadband services by municipal governments."
Connect Boulder Wi-Fi,City Technology,Innovation and Technology ,How is the exemption from SB-152 expected to benefit the Boulder community?,"Voters' approval of ballot measure 2C, an exemption from SB-152, restored to Boulder the autonomy that all Colorado cities had prior to 2005, especially local authority to facilitate the provision of community broadband services by leveraging the city's physical assets and leasing, selling capacity, or granting similar rights to one or more private providers. Boulder's highly educated citizens use the Internet for activities ranging from world-class climate research, to online learning and collaboration, to home entertainment. Boulder is the ideal place to install high-speed broadband because of its tech-savvy population and innovative businesses. Teleworking and home-based businesses are common in Boulder, and would significantly benefit from increased broadband speed."
Connect Boulder Wi-Fi,City Technology,Innovation and Technology ,What are some of the expected benefits of high-speed broadband services in Boulder?,"Intensified Innovation by local businesses and entrepreneurs who are already nationally recognized for spurring new startups, ideas, and technologies. Better access to high-speed broadband will increase the city's ability to retain companies that need and demand this level of service. A More Connected Community with new avenues for citizen engagement in local decision-making, new frontiers for digital governance, and new opportunities for wired social spaces and creative networking. Enhanced Efficiency and Improved Quality of Life, as Boulder residents and businesses are able to do more, more quickly, with less frustration; leaving more time for enjoying the great outdoors. Inclusive Internet Access as the City of Boulder works with partners like the University of Colorado, Boulder Valley School District and Boulder Community Foundation to ensure that everyone in the community is wired, connected, and empowered to participate, innovate, and succeed, eliminating the digital divide. Cuts in Carbon as high-speed connections empower employees to more effectively work from home and local businesses are better able to support clients worldwide, without having to get on a plane. Attachment A of the June 17 City Council memo provides key information in support of Boulder's need for greater autonomy and local control over public technology investment decisions."
Connect Boulder Wi-Fi,City Technology,Innovation and Technology ,"Why didn't the city try to repeal SB-152 at the state legislature, rather than asking Boulder voters to consider an exemption?",Recent City of Boulder attempts to amend SB-152 proved impossible because of other broadband-related priorities in the statehouse.
Connect Boulder Wi-Fi,City Technology,Innovation and Technology ,Don't existing cable and Internet companies provide high-speed Internet in Boulder?,"As in many other Colorado communities, Boulder residents and businesses have a limited choice of broadband providers. Existing providers have few incentives to provide the more affordable and higher-speed services that might otherwise exist in a more competitive environment. Voters' approval of an exemption of SB-152 does not prohibit either existing or new broadband providers from competing in the Boulder broadband market."
Connect Boulder Wi-Fi,City Technology,Innovation and Technology ,What is broadband fiber?,"Broadband fiber is fiber-optic cable, typically run underground. Fiber carries passive, symmetrical signals via modulated light. Fiber-optic connections are very reliable and can quickly carry large amounts of data over long distances. Fiber-optic speeds range from 10 megabits to 10 gigabits per second, compared to 20 to 100 megabits per second for a typical cable Internet connection. Fiber-optic cable provides a symmetrical connection, allowing data to flow in both directions simultaneously with no reduction in speed. Unlike cable Internet, fiber-optic cable is a dedicated Internet connection and is not shared with cable services."
Connect Boulder Wi-Fi,City Technology,Innovation and Technology ,Does the city own existing broadband fiber in Boulder?,The city currently has ownership or rights to more than 100 miles of conduit and some dark fiber (fiber-optics not connected to broadband equipment) that could used to benefit the community.
Connect Boulder Wi-Fi,City Technology,Innovation and Technology ,Why does Boulder need faster Internet service?,"Access to broadband service is no longer a luxury, but increasingly a fundamental need for Colorado residents, students and businesses. Broadband service has become similar to other basic services such as clean water, safe roads, and public schools. Broadband technology has advanced significantly since 2005, particularly the technology that enables what Boulder residents and businesses regard as ""high-speed"" broadband service. Broadband fiber increases Internet connection and browsing speeds, allowing users to more quickly access online information and resources."
Connect Boulder Wi-Fi,City Technology,Innovation and Technology ,Are other Colorado cities exempt from SB-152?,"Voters in nearly a dozen Colorado cities and counties have exempted themselves from SB-152, passing measures affirming their communities' rights to provide certain broadband services. Exemptions approved by the voters on Nov. 4, 2014 in Boulder, Wray, Yuma, Cherry Hills Village, Red Cliff, Yuma County, San Miguel County, and Rio Blanco County appear to have been inspired by similar ballot measures years prior in Centennial, Montrose, and Longmont. Dozens of other states in the U.S. and many other countries allow and encourage local governments to be actively involved in the provision of broadband services."
Connect Boulder Wi-Fi,City Technology,Innovation and Technology ,Was this a vote for Google Fiber?,"No, Google Fiber is Google's fiber-to-the-premises service in the U.S., providing broadband Internet and television to a small and slowly growing number of communities. The City of Boulder, with the help of a broad community coalition, responded to Google's initial competitive selection process in 2010, advocating to be selected as a ""Google Fiber City."" More than 1,100 other communities also applied to be the first recipient of the service. The Google Fiber service was first introduced to Kansas City, Kansas, and is being expanded to Kansas City, Missouri, with plans to expand to several other Kansas City suburbs. Google Fiber is also being expanded to Austin, Texas, and Provo, Utah. In February 2014, Google announced that the company had chosen another 34 cities in nine metro areas as candidates for future expansion."
Connect Boulder Wi-Fi,City Technology,Innovation and Technology ,Is the City of Boulder planning to partner with Google to provide broadband services?,"Although the ballot measure was not offered in anticipation of a specific city-sponsored telecommunications initiative or public-private partnership, the background and justification provided during the 2010 Google Fiber initiative underscores Boulder's opportunity to apply its unique assets and define its digital future."
Construction and Event Parking Permits,Parking Services,Community Vitality ,Construction and Event Parking Permits,"All permits should be displayed during construction, media events, and special activities and be within proximity of the event but for no more than 10 hours in a 24-hour period. Special activities include: weddings, funerals, bus loading and mobile medical facilities. Dash Permits:  Do not reserve a parking space Allow for prepaid parking beyond a posted maximum time limit Must be properly and visibly displayed on the passenger side of the front dashboard of the vehicle at all times  Signs:  Secure a specific parking space, series of spaces, or an entire block  Must be used in conjunction with dash permit(s)  Reserved area must be clearly stated on the sign(s)  Must be attached to existing City of Boulder street poles with string, wire, or plastic ties (not tape) and posted as to be seen by an ordinarily observant person  Must not prohibit use or visibility of any pay station or meter Hoods: Secure a specific parking space or series of spaces in areas where single space meters exist  Cannot be used at 1⁄2 hour or accessible parking meters  Fees:  All products may be issued on a daily, weekly or monthly basis and should be used during the hours that meters are enforced. Hours are 9 a.m.-7 p.m., Monday-Saturday. Dash Permits: $12.50/day  Signs: $.50/ sign (with purchase of Dash Permits) Hoods: $12.50/day A $50 deposit/hood is required. Customer must provide padlock(s) to fasten onto pole(s). Deposits are refunded if hood resembles condition when issued; and within five business days after expiration of permit. Deposits will not be refunded due to loss or damage of hood. Construction, Media Event, Special Activity Permit Application If parking issues occur, please contact 303-413-7300, Monday-Friday, 8 a.m. to 4:30 p.m. All other times: 303-441-3333."
Construction Meters/Hydrant Meters,Water and Sewer,Public Works ,Construction Meters/Hydrant Meters,"The city has temporary water meters available in order to obtain water service for construction projects within the city's water system. To rent a temporary meter, come to the Municipal Service Center at 5050 Pearl St. between 7 a.m. and 3 p.m., Monday-Friday. A $2,400 deposit is required and all deposits and other payments must be made with either check or money order. The water usage is billed upon return of the meter at a rate of $8 per 1,000 gallons. Additionally, as of January 1st, 2018 a $125.00 monthly service fee will be charged for the duration of the rental through the city's Utility Billing office.    For more information, contact Public Works at 303-441-3200."
Construction Use Tax,"Licensing, Permits and Fees/Taxes",Finance ,What is construction use tax?,"Construction Use Tax is the sales/use tax paid by contractors or homeowners for construction materials used when erecting, building, remodeling or repairing real property. The payment of construction use tax is a requirement of obtaining a city permit."
Construction Use Tax,"Licensing, Permits and Fees/Taxes",Finance ,What is construction use tax reconciliation and when is it required?,"Reconciliation is a process of filing a construction use tax return upon completion of a permitted construction project to determine whether there was an overpayment or underpayment of Construction Use Tax. Filing of the return is required for all construction projects where the final contract price or final project cost is $20,000 or more and the permit was issued on or after July 1, 2010."
Construction Use Tax,"Licensing, Permits and Fees/Taxes",Finance ,What is the due date for filing a construction use tax return?,A tax return must be filed within 90 days of the certificate of occupancy date or the date that the city designates the project has a completed status.
Construction Use Tax,"Licensing, Permits and Fees/Taxes",Finance ,Who do I call if I have questions regarding a filing or completing a construction use tax return?,"The general information line for construction use tax and specific sales and use taxation questions is 303-441-3288. For sales tax filing and licensing questions, please call 303-441-3050."
Construction Use Tax,"Licensing, Permits and Fees/Taxes",Finance ,Who is responsible for filing construction use tax reconciliation returns?,"After completing a permitted construction project where the use tax pre-payment option is used, the general contractor or homeowner acting in the capacity of a contractor is the person responsible for completing the Construction Project Cost Reconciliation Return to determine if the use tax due is more or less than the prepaid tax estimate."
Construction Use Tax,"Licensing, Permits and Fees/Taxes",Finance ,How can I track the status of a Construction Use tax return that was filed?,"Use the Permit Status Report to enter the case number found on the fee reciept, Permit Placard or Inspection Record Card (for example, PMT2005-31536). There will be a box that displays the status of the Construction Use Tax return at the bottom of this report."
Construction Use Tax,"Licensing, Permits and Fees/Taxes",Finance ,Does the city tax construction equipment that is used temporarily in the city on a construction project?,"Yes, any person that owns construction equipment with a purchase price of $2500 or more and brings it into the City of Boulder for use or storage is required to file a Construction Equipment Declaration to determine the use tax that may be owed to the City. Refer to Boulder Revised Code (BRC) 1981 section 3-2-2(a)(9)-(14) and Tax Regulation (13). View the Construction Use Tax webpage for more details and information."
Contact Boulder Municipal Court,Municipal Court/Traffic Violations,Municipal Court ,Contact Boulder Municipal Court,"The Boulder Municipal Court is located in the Boulder County Justice Center on the southwest corner of the intersection of 6th Street and Canyon Boulevard at 1777 6th St., Boulder, CO, 80302. Parking for this building is on the southeast corner of the intersection. The court's hours are 8 a.m. to 4:30 p.m., Monday through Friday. The court is closed for staff meetings the second Friday of every month from 8 a.m. to 1 p.m.  Mailing address Boulder Municipal Court P.O. Box 8015 Boulder, CO 80306-8015  Phone numbers Administrative office: 303-441-1842  Fax: 303-441-4233  City Attorney-  Prosecution Division: 303-441-3025  Violations Bureau:  303-441-1840  (first court appearance or to pay traffic/general tickets)  Warrants: 303-441-1840  Parking tickets: 303-441-4212  Photo enforcement: 303-441-1810  Jury Commissioner: 303-441-1842  Jury line: 303-441-3883    Judges: 303-441-1844 Judges are not allowed to discuss your court case on the phone. If this is why you are calling, put your request in writing or call the administrative office to be added to a court docket. Probation Pam Aubry: 303-441-4942  Paul Springob: 303-441-1921 Elizabeth Robinson (Navigator): 720-925-1249  Jim Wise: 303-441-1860"
Contact Boulder Public Library,Library,Library ,Contact Boulder Public Library,"The Boulder Public Library system includes the Main Library, Carnegie Branch Library for Local History, George Reynolds Branch Library, Meadows Branch Library and the NoBo Corner Library. To contact the Boulder Public Library, call 303-441-3100 or make a service request."
Contact Channel 8,General Information,Communication ,Contact Channel 8,Contact Channel 8 to suggest and/or comment on the following: Programming content suggestion  Provide general comment  Report a broken link on Channel 8 website  Contact Channel 8 web manager
